"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"The area of a parallelogram is calculated as:","Base × Height","½ × Base × Height","Side × Side","Sum of all sides","a","class7-parallelogram-area","The area of a parallelogram is Base × Height, where the height is the perpendicular distance between the parallel sides (the base and its opposite side)."
"What is the area of a triangle with base 12 cm and height 5 cm?","17 cm²","30 cm²","60 cm²","120 cm²","b","class7-triangle-area-advanced","Area of a triangle = ½ × base × height. Here, Area = ½ × 12 cm × 5 cm = ½ × 60 cm² = 30 cm²."
"Volume is a measure of:","The boundary length of a 3D object","The surface covered by a 3D object","The space occupied by a 3D object","The weight of a 3D object","c","class7-volume-introduction","Volume quantifies the three-dimensional space an object occupies, i.e., how much it can hold or its capacity, measured in cubic units."
"The surface area of a cube with side length 's' is:","s³","4s²","6s²","12s","c","class7-surface-area-basics","A cube has 6 identical square faces. The area of one face is s². Therefore, the total surface area is 6 × s² = 6s²."
"If 1 cm³ = 1 ml, what is the capacity (in liters) of a cuboidal tank measuring 2 m × 1 m × 0.5 m?","100 L","500 L","1000 L","2000 L","c","class7-capacity","Volume of tank = l × b × h = 2 m × 1 m × 0.5 m = 1 m³. Since 1 m³ = 1000 liters, the capacity is 1000 L."
"Which formula correctly calculates the area of a trapezium?","½ × (Product of parallel sides) × Height","½ × (Sum of parallel sides) × Height","Base × Height","πr²","b","class8-trapezium-area","The area of a trapezium is given by half the sum of the lengths of its parallel sides (often called a and b), multiplied by the perpendicular distance between them (height). A = ½ × (a + b) × h."
"To find the area of an irregular quadrilateral, a common method is to:","Multiply its four sides","Use the formula πr²","Divide it into two triangles using a diagonal","Assume it is a square","c","class8-quadrilateral-area","By drawing one diagonal, an irregular quadrilateral is divided into two triangles. The area of the quadrilateral is then the sum of the areas of these two triangles."
"For a regular polygon, Area = ½ × Perimeter × ______.","Side length","Apothem","Diameter","Radius","b","class8-polygon-area","The area of a regular polygon can be calculated as half the product of its perimeter and its apothem. The apothem is the perpendicular distance from the center to a side."
"Heron's formula is used to find the area of a triangle when:","Only the base is known","Only the height is known","All three sides are known","Only two sides are known","c","class8-herons-formula","Heron's formula, A = √[s(s-a)(s-b)(s-c)], where s is the semi-perimeter, calculates the area of a triangle using the lengths of all three sides. It is useful when the height is not known."
"The volume of a cylinder is given by:","πr²h","2πrh","2πr(h+r)","⅓πr²h","a","class8-cylinder-volume","The volume of a cylinder is the area of its circular base (πr²) multiplied by its height (h). Therefore, V = πr²h."
"For a cone and a cylinder with the same base radius and height, the volume of the cone is:","Equal to the cylinder's volume","Half of the cylinder's volume","One-third of the cylinder's volume","Twice the cylinder's volume","c","class8-volume-relationships","The volume of a cone is exactly one-third the volume of a cylinder that shares the same base area and height. V_cone = (1/3) × πr²h."
"The total surface area of a closed cylinder is:","πr²h","2πrh","2πr(h + r)","πr(r+h)","c","class8-cylinder-surface-area","Total Surface Area = Area of the two circular ends + Curved Surface Area. TSA = 2×(πr²) + 2πrh = 2πr² + 2πrh = 2πr(r + h)."
"To minimize the material used for a fixed volume container, which shape is generally most efficient?","Cube","Cuboid","Sphere","Irregular shape","c","class8-surface-area-relationships","For a given volume, a sphere has the smallest possible surface area. This is why nature often forms spherical shapes like bubbles and water droplets, as it minimizes the surface area exposed."
"To calculate the cost of painting a wall, you need to know the wall's ______ and the cost per unit ______.","Perimeter, length","Area, area","Volume, volume","Weight, weight","b","class8-cost-calculations","Painting covers a surface. The amount of paint needed depends on the surface area (e.g., in m²) to be painted. The total cost is the area multiplied by the cost per unit area."
"An optimization problem in mensuration often involves finding the dimensions that ______ for a given volume.","Maximize surface area","Minimize surface area","Maximize perimeter","Minimize height","b","class8-optimization-problems","A common optimization goal, especially in packaging or container design, is to use the least amount of material (which relates to surface area) to enclose a fixed volume, thereby minimizing cost."
"To find the area of a garden with a circular pond in the middle, you should:","Add the area of the garden and the pond","Subtract the pond's area from the garden's total area","Multiply their perimeters","Use Heron's formula","b","class8-composite-shapes","The area of the garden excluding the pond is the total area of the garden plot minus the area occupied by the pond. This is an example of a composite shape requiring subtraction."
"How many liters are there in 1 cubic meter (1 m³)?","1","10","100","1000","d","class8-advanced-conversions","The standard conversion is: 1 m³ = 1000 liters. This is because 1 m = 100 cm, so 1 m³ = 1,000,000 cm³, and since 1 liter = 1000 cm³, it follows that 1 m³ = 1000 liters."
"A trapezium has parallel sides of 10 cm and 6 cm, and a height of 4 cm. What is its area?","16 cm²","24 cm²","32 cm²","64 cm²","c","class8-master-games","Area of trapezium = ½ × (sum of parallel sides) × height = ½ × (10 cm + 6 cm) × 4 cm = ½ × 16 cm × 4 cm = 32 cm²."
"In the hands-on experiment where you fill a cone and pour it into a cylinder with the same base and height, how many cone-fulls are needed to fill the cylinder?","1","2","3","4","c","class8-hands-on-advanced-experiments","This classic experiment demonstrates that the volume of a cone is one-third the volume of a cylinder with the same base and height. Therefore, it takes exactly 3 cone-fulls to fill the cylinder."
"Mensuration skills are essential for which of the following careers?","Architect designing a building","Farmer planning irrigation","Packaging designer creating a box","All of the above","d","class8-career-connections","Mensuration—calculating areas, volumes, perimeters, and surface areas—is a fundamental skill in numerous fields including architecture, agriculture, design, engineering, logistics, and many more."
