"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"What does it mean if two ratios are in proportion?","They have the same sum","They are equal","The first is larger","The second is larger","b","class6-proportion-definition","When two ratios are in proportion, it means they are equal to each other. They represent the same relationship between two quantities. For example, 2:3 is proportional to 4:6 because when simplified, both represent the same core relationship. The equality can be tested using cross-multiplication."
"To check if 2:5 and 6:15 are proportional, what calculation do you do?","2+5 = 6+15","2*5 = 6*15","2*15 = 5*6","2/6 = 5/15","c","class6-checking-proportion","The test for proportion is cross-multiplication. For ratios a:b and c:d, check if a*d = b*c. Here, a=2, b=5, c=6, d=15. Calculate 2*15=30 and 5*6=30. Since the products are equal (30=30), the ratios are proportional. This proves 2/5 = 6/15."
"Is the pair 4:7 and 12:21 proportional? Use cross-multiplication.","Yes","No","","","a","class6-checking-proportion","Apply cross-multiplication: For 4:7 and 12:21, calculate 4 * 21 = 84 and 7 * 12 = 84. Since both products are equal (84 = 84), the two ratios are proportional. This means the relationship between the numbers in the first ratio is identical to the relationship in the second ratio."
"If 3:5 = 9:x, what is the value of x? Use cross-multiplication.","10","15","20","25","b","class6-proportion-unitary-games","Set up the proportion as an equation: 3/5 = 9/x. Cross-multiply: 3 * x = 5 * 9. This gives 3x = 45. Solve for x by dividing both sides by 3: x = 45 ÷ 3 = 15. Therefore, the completed proportion is 3:5 = 9:15."
"The Unitary Method is best described as:","Finding the value of many units first","Finding the value of ONE unit first","Adding all units together","A method for subtraction","b","class6-unitary-method","The Unitary Method is a problem-solving technique where you first find the value of a single unit (one item). You do this by dividing the given value by the number of units. Once you know the value of one unit, you can multiply it to find the value of any number of units."
"If 8 chocolates cost ₹80, what does 1 chocolate cost using the unitary method?","₹8","₹10","₹12","₹15","b","class6-unitary-method","The unitary method involves finding the cost of one unit. Given: Cost of 8 chocolates = ₹80. To find the cost of 1 chocolate, divide the total cost by the number of chocolates: ₹80 ÷ 8 = ₹10. Therefore, the cost of one chocolate is ₹10."
"You need to make a paint color. Recipe A is 2 red : 3 white. You want a bigger batch but the same color. Which recipe is proportional?","4 red : 5 white","1 red : 1.5 white","3 red : 2 white","6 red : 8 white","b","class6-proportion-activities","To maintain the same color, the ratio of Red to White must stay constant at 2:3. Check 1:1.5: Multiply the original ratio (2:3) by 0.5 (2*0.5=1, 3*0.5=1.5). The resulting ratio (1:1.5) is proportional to 2:3. The other ratios, when simplified, do not equal 2:3."
"In a garden, 50 seeds cover 2 m². How many seeds for 6 m²? Use proportion.","100 seeds","150 seeds","200 seeds","250 seeds","b","class6-proportion-activities","Set up a proportion: seeds/area is constant. 50 seeds / 2 m² = x seeds / 6 m². Cross-multiply: 50 * 6 = 2 * x → 300 = 2x. Solve for x: x = 300 ÷ 2 = 150 seeds. Alternatively, using the unitary method: seeds per m² = 50/2 = 25. For 6 m², seeds needed = 25 * 6 = 150."
"What does 'percentage' literally mean?","Out of 10","Per hundred","Part of a whole","A type of fraction","b","class7-percentage-definition","The word 'percentage' comes from the Latin 'per centum,' which means 'by the hundred' or 'out of a hundred.' Therefore, percentage literally means **'per hundred'**. It is a way to express a number as a fraction of 100, providing a standard base for comparison."
"Which visual tool is BEST for understanding percentages?","A bar graph","A 10x10 grid (100 squares)","A number line","A pie chart","b","class7-percentage-definition","A 10x10 grid, containing exactly 100 squares, is the most direct visual model for percentages. Each square represents 1%. You can shade any percentage by coloring the corresponding number of squares (e.g., 25% = 25 squares, 50% = 50 squares). This provides a clear, concrete representation of 'parts per hundred.'"
"To convert the fraction 3/5 to a percentage, what do you do?","Divide 3 by 5 and add %","Multiply 3/5 by 100 and add %","Find 5% of 3","Say '3 out of 5'","b","class7-percentage-conversions","To convert any fraction to a percentage, multiply the fraction by 100 and add the percent sign (%). For 3/5: (3/5) * 100 = 0.6 * 100 = 60%. This process answers the question: 'If the denominator were 100 instead of 5, what would the numerator be?'"
"What is 75% expressed as a fraction in simplest form?","75/100","15/20","3/4","7.5/10","c","class7-percentage-conversions","75% means 75 per hundred, or 75/100. To simplify this fraction, find the HCF of 75 and 100, which is 25. Divide both numerator and denominator by 25: 75÷25=3, 100÷25=4. Therefore, 75% = 3/4 in its simplest form."
"To find 10% of ₹450 quickly in your head, what's the best trick?","Divide by 2","Move the decimal point one place to the left","Multiply by 10","Subtract 10","b","class7-percentage-calculations","10% is equivalent to 10/100 = 1/10 = 0.1. To find 10% of any number, you can multiply by 0.1, which is the same as moving the decimal point one place to the left. ₹450.0 becomes **₹45.00**. This is a reliable mental math shortcut for calculating 10%."
"You see a phone battery at 65%. What does this mean?","65 minutes of power left","The battery is 65/100 full","The phone costs 65% more","65 parts are broken","b","class7-percentage-applications","A battery percentage is a measure of remaining capacity relative to its full capacity. 65% means the battery is currently at 65 parts out of a maximum of 100 parts. It is a fractional representation (65/100) of how full the battery is, not a direct measure of time or cost."
"In business, if Selling Price (SP) is GREATER than Cost Price (CP), what happens?","You make a Profit","You make a Loss","You break even","You get a discount","a","class7-profit-loss-basics","Profit occurs when the Selling Price (SP) is greater than the Cost Price (CP). The profit amount is calculated as Profit = SP - CP. This means the item was sold for more than it cost to acquire or produce, resulting in a financial gain."
"Cost Price (CP) is ₹200, Selling Price (SP) is ₹250. What is the profit PERCENTAGE?","20%","25%","50%","125%","b","class7-percentage-profit-loss","First, calculate the profit: Profit = SP - CP = ₹250 - ₹200 = ₹50. Profit percentage is always calculated on the Cost Price. Profit % = (Profit / CP) × 100 = (50 / 200) × 100 = 0.25 × 100 = 25%. This means the profit is 25% of the original cost."
"The formula for Simple Interest is:","I = P + R + T","I = (P * R) / T","I = (P * R * T) / 100","I = P (1 + R)^T","c","class7-simple-interest-basics","The standard formula for Simple Interest (SI) is SI = (Principal × Rate × Time) / 100. Principal (P) is the initial amount, Rate (R) is the annual interest percentage, and Time (T) is the duration in years. The division by 100 is necessary because the rate is a percentage."
"Principal = ₹1000, Rate = 5% p.a., Time = 2 years. What is the Simple Interest?","₹50","₹100","₹150","₹200","b","class7-profit-loss-interest-games","Use the Simple Interest formula: SI = (P * R * T) / 100. Substitute the values: P=1000, R=5, T=2. SI = (1000 * 5 * 2) / 100 = (10000) / 100 = ₹100. The interest earned (or paid) over 2 years is ₹100. With simple interest, the same amount (₹50) is added each year."
"If two quantities are in DIRECT proportion, what happens when one doubles?","The other halves","The other doubles","The other stays same","The other squares","b","class8-direct-proportion","In direct proportion, two quantities change at the same rate. Their ratio (y/x) remains constant. Therefore, if one quantity doubles (is multiplied by 2), the other quantity must also double to keep the ratio the same. This is the defining characteristic of a direct proportional relationship."
"If speed and time for a fixed distance are related, what type of proportion is it?","Direct Proportion","Inverse Proportion","No Proportion","Continued Proportion","b","class8-inverse-proportion","For a fixed distance, Speed × Time = Distance (a constant). This equation shows that as speed increases, time must decrease to keep the product constant, and vice versa. When the product of two quantities is constant, they are in **inverse proportion**."
"You know 5 books cost ₹250. If this is direct proportion, what do 8 books cost?","₹300","₹350","₹400","₹450","c","class8-proportion-problems-games","In direct proportion, cost is directly related to the number of books. First, find the cost per book (unitary method): ₹250 ÷ 5 = ₹50 per book. Then, multiply by the number of books wanted: 8 books × ₹50/book = **₹400**. You could also solve using the proportion 5/250 = 8/x."
"Compound Interest is different from Simple Interest because:","It is calculated only once","You earn interest on the interest already earned","The rate is always lower","It is linear growth","b","class8-compound-interest-basics","The key difference is that compound interest calculates interest on the accumulated interest from previous periods, not just on the original principal. This causes the investment to grow at an accelerating (exponential) rate, unlike simple interest which grows at a constant (linear) rate."
"To estimate how many years it takes to double your money with compound interest, you can use:","The Rule of 72","The Law of 100","The Principle of 50","The Formula of 10","a","class8-compound-vs-simple-interest","The Rule of 72 is a quick approximation formula: Years to Double ≈ 72 ÷ Annual Interest Rate (%). For example, at 8% interest, money would double in roughly 72÷8=9 years. It highlights the power of compound interest and is useful for mental estimations."
"A shirt marked ₹1000 has a 20% discount. What is the discount amount?","₹20","₹100","₹200","₹800","c","class8-discount-tax-markup","The discount amount is calculated as a percentage of the Marked Price (MP). Discount = (Discount % / 100) × MP = (20/100) × ₹1000 = 0.2 × 1000 = **₹200**. The selling price would then be MP - Discount = ₹1000 - ₹200 = ₹800."
"If an item costs ₹500 and has a 12% sales tax added, what is the final price?","₹440","₹560","₹600","₹620","b","class8-discount-tax-markup","First, calculate the tax amount: Tax = (Tax % / 100) × Price = (12/100) × ₹500 = 0.12 × 500 = ₹60. The final price is the original price plus the tax: Final Price = ₹500 + ₹60 = **₹560**. Sales tax is an amount added to the base price of an item."
